frequency_ghz,measured_signal
4.951792871699873,-10.60242473353216
4.952190606067077,-10.57128420737024
4.952588340434282,-10.47084639715328
4.952986074801487,-10.530957819904
4.953383809168692,-10.48931744088064
4.9537815435358965,-10.50589534355456
4.954179277903101,-10.48451110404096
4.954577012270305,-10.46858952605696
4.95497474663751,-10.51193245696
4.955372481004715,-10.49828050075648
4.95577021537192,-10.55094753722368
4.9561679497391244,-10.55442176311296
4.956565684106329,-10.52147265306624
4.956963418473534,-10.52684673089536
4.957361152840738,-10.485323792384
4.957758887207943,-10.542879709593599
4.958156621575148,-10.48471175954432
4.958554355942352,-10.47996984721408
4.958952090309557,-10.43268628381696
4.959349824676762,-10.50237145710592
4.959747559043966,-10.40261681512448
4.960145293411171,-10.431871582208
4.9605430277783755,-10.4370423201792
4.96094076214558,-10.485776777216
4.961338496512785,-10.60575668862976
4.96173623087999,-10.57100436340736
4.962133965247194,-10.53554940837888
4.962531699614399,-10.53021693804544
4.9629294339816035,-10.524246933504
4.963327168348808,-10.4444343615488
4.963724902716013,-10.47436424380416
4.964122637083218,-10.23280119021568
4.964520371450423,-10.27669038727168
4.964918105817627,-10.34525618470912
4.965315840184831,-10.35878801604608
4.965713574552036,-10.38803405897728
4.966111308919241,-10.47729958551552
4.966509043286446,-10.48977579442176
4.966906777653651,-10.55352116215808
4.9673045120208545,-10.554476121292799
4.967702246388059,-10.5131538382848
4.968099980755264,-10.28752511336448
4.968497715122469,-10.04019136856064
4.968895449489674,-9.6879765356544
4.969293183856879,-9.14916416421888
4.969690918224083,-8.73517092438016
4.970088652591287,-8.15855814311936
4.970486386958492,-7.62117183504384
4.970884121325697,-7.41870908997632
4.971281855692902,-7.11465426223104
4.9716795900601065,-7.069012852736
4.972077324427311,-7.02607056175104
4.972475058794515,-7.37448971730944
4.97287279316172,-7.6637248946176
4.973270527528925,-8.1963377491968
4.97366826189613,-8.57647054061568
4.9740659962633345,-9.11563657576448
4.974463730630539,-9.56557265207296
4.974861464997743,-9.99170856976384
4.975259199364948,-10.36414061903872
4.975656933732153,-10.47158727901184
4.976054668099358,-10.64416174931968
4.976452402466562,-10.6784060604416
4.976850136833767,-10.52948746469376
4.977247871200972,-10.4854378774528
4.977645605568176,-10.40651181359104
4.978043339935381,-10.37643362074624
4.9784410743025855,-10.35819880022016
4.97883880866979,-10.1701570789376
4.979236543036995,-10.27374565031936
4.9796342774042,-10.43222793027584
4.980032011771404,-10.43032606507008
4.980429746138609,-10.51943455686656
4.9808274805058135,-10.5636767465472
4.981225214873018,-10.5773568884736
4.981622949240223,-10.58805873901568
4.982020683607428,-10.54125835943936
4.982418417974633,-10.49250309865472
4.982816152341837,-10.53758012260352
4.983213886709041,-10.6135923195904
4.983611621076246,-10.4559200436224
4.984009355443451,-10.46387043074048
4.984407089810656,-10.55759802564608
4.984804824177861,-10.52334230601728
4.9852025585450646,-10.49910996631552
4.985600292912269,-10.63529666838528
4.985998027279474,-10.57059701260288
4.986395761646679,-10.58016002572288
4.986793496013884,-10.60623181938688
4.987191230381089,-10.5846583328768
4.9875889647482925,-10.56847234596864
4.987986699115497,-10.58133778628608
4.988384433482702,-10.49321109716992
4.988782167849907,-10.52608638746624
4.989179902217112,-10.49426336415744
4.9895776365843165,-10.59743787384832
4.989975370951521,-10.43266078244864
4.990373105318725,-10.51964930523136
4.99077083968593,-10.62254933966848
4.991168574053135,-10.58588575399936
